iter	Logloss
0	0.6844434814
1	0.6759397436
2	0.6676003306
3	0.659464573
4	0.6515599729
5	0.6438473618
6	0.6362585678
7	0.6288903044
8	0.6217060783
9	0.6146763282
10	0.6078319178
11	0.6011465811
12	0.5946192677
13	0.5882668722
14	0.5820202382
15	0.5758983427
16	0.5699202869
17	0.5641372626
18	0.5584871962
19	0.5530018919
20	0.5476175228
21	0.5423866295
22	0.5372693146
23	0.5321890909
24	0.5273018383
25	0.5225353659
26	0.5179134219
27	0.5134047155
28	0.5089635846
29	0.5046641072
30	0.5004725357
31	0.4963607822
32	0.4922819585
33	0.4883414151
34	0.4845460827
35	0.4808358856
36	0.4772197014
37	0.4736921526
38	0.4701939089
39	0.4668153901
40	0.4634725265
41	0.4602195124
42	0.4570794591
43	0.4540154925
44	0.4509970983
45	0.448073598
46	0.4452316103
47	0.4423931472
48	0.4396690045
49	0.4370320056
50	0.434393831
51	0.4318905249
52	0.4294350638
53	0.4269782434
54	0.4245803857
55	0.4221879576
56	0.4199552252
57	0.4176875263
58	0.4155764416
59	0.4134454929
60	0.4113331071
61	0.4093681358
62	0.4073481417
63	0.4054362105
64	0.4036007946
65	0.4018004989
66	0.4000076653
67	0.3981782452
68	0.3964434201
69	0.3948208128
70	0.3932171845
71	0.3916196151
72	0.390033355
73	0.3885101613
74	0.38704518
75	0.3856127198
76	0.3841600622
77	0.3828170306
78	0.3814354126
79	0.3801175979
80	0.3788250063
81	0.3775642108
82	0.3763751527
83	0.3751341416
84	0.3739332977
85	0.372783206
86	0.3716458069
87	0.3705438986
88	0.3695138098
89	0.368468938
90	0.3674453941
91	0.3664881959
92	0.3655125903
93	0.364519046
94	0.3635142036
95	0.3625133943
96	0.3616222967
97	0.3607253946
98	0.3598880216
99	0.3590693498
100	0.3582552136
101	0.3573935051
102	0.3566376521
103	0.3559165154
104	0.3551844976
105	0.3544512018
106	0.3536748418
107	0.3529958402
108	0.3522887126
109	0.3515680897
110	0.3509097678
111	0.3502682403
112	0.3496459531
113	0.3489542717
114	0.3483899085
115	0.3478072589
116	0.3472280358
117	0.3466408514
118	0.3460459162
119	0.3454352384
120	0.3448617477
121	0.3443806874
122	0.343886928
123	0.343326328
124	0.3428296684
125	0.342327614
126	0.3418465134
127	0.3413647351
128	0.3409423193
129	0.3405218504
130	0.3400837916
131	0.3396199019
132	0.3392041122
133	0.3387632522
134	0.338311598
135	0.3379283115
136	0.3375263104
137	0.3371061768
138	0.3367350542
139	0.3363777954
140	0.3360056774
141	0.3356624198
142	0.335315806
143	0.3349662781
144	0.3346253149
145	0.3343453005
146	0.3340557608
147	0.333673344
148	0.3333792544
149	0.3330805776
150	0.3327915636
151	0.3325268035
152	0.3322224504
153	0.3319513879
154	0.3316921519
155	0.3314133641
156	0.3311413566
157	0.330904394
158	0.3306667822
159	0.3304218965
160	0.3301355263
161	0.3298893242
162	0.3296285137
163	0.3293790887
164	0.3291479416
165	0.3289281667
166	0.3286890821
167	0.3284749745
168	0.3282471553
169	0.3280160451
170	0.3277838859
171	0.3275321836
172	0.3273479725
173	0.3271543494
174	0.3269890218
175	0.3267802178
176	0.3266033042
177	0.3263676881
178	0.3261712801
179	0.3259557176
180	0.3257616254
181	0.3255957288
182	0.3254089696
183	0.3252365955
184	0.325086675
185	0.3249338574
186	0.3248007735
187	0.3246540381
188	0.3245223018
189	0.3243957488
190	0.3242550396
191	0.3241234622
192	0.3240212759
193	0.3238737466
194	0.3237087896
195	0.3235305795
196	0.3233943342
197	0.32322928
198	0.3230738607
199	0.3229596299
200	0.32280937
201	0.3226596269
202	0.3225377368
203	0.3224108657
204	0.3222877308
205	0.3221574429
206	0.3220490583
207	0.3219335755
208	0.3218058598
209	0.3216775735
210	0.321587002
211	0.3214696729
212	0.3213683758
213	0.3212723789
214	0.321165946
215	0.3210641999
216	0.3209822406
217	0.3208456744
218	0.3207590903
219	0.3206512961
220	0.320539744
221	0.3204660083
222	0.3203613219
223	0.3202614344
224	0.3201597636
225	0.3200875542
226	0.3199978413
227	0.3198975836
228	0.3197981254
229	0.3197188907
230	0.3196518288
231	0.319574899
232	0.3194836444
233	0.3194150673
234	0.3193107249
235	0.3192061817
236	0.3191183679
237	0.3190473187
238	0.3189648372
239	0.3189024251
240	0.3188070938
241	0.3187587403
242	0.318673988
243	0.3186087038
244	0.3185298758
245	0.3184629715
246	0.318387742
247	0.3183300373
248	0.3182531257
249	0.3181715608
250	0.3180673625
251	0.3179938233
252	0.3179494117
253	0.3179083682
254	0.3178551811
255	0.3177684011
256	0.3177011966
257	0.3176330035
258	0.3175586023
259	0.3175028563
260	0.3174359876
261	0.3173814685
262	0.3173292059
263	0.3172439947
264	0.3171693566
265	0.3170702791
266	0.3169781265
267	0.3169219245
268	0.3168457451
269	0.3167877674
270	0.3167147569
271	0.3166578334
272	0.3166203373
273	0.316551304
274	0.3164934244
275	0.3164617424
276	0.3164191372
277	0.3163486397
278	0.3162701711
279	0.3162367992
280	0.3161960022
281	0.3161421352
282	0.3160921704
283	0.3160558681
284	0.3160024722
285	0.3159606562
286	0.3158628763
287	0.315811625
288	0.3157640336
289	0.315715218
290	0.3156542855
291	0.3155852393
292	0.3155370501
293	0.3154592109
294	0.3154064064
295	0.3153669774
296	0.3152914488
297	0.315250392
298	0.3152023617
299	0.3151603419
300	0.3151189456
301	0.3150537844
302	0.3149774187
303	0.3149438923
304	0.3148730083
305	0.3148049131
306	0.3147550256
307	0.3146928557
308	0.314661793
309	0.31461919
310	0.3145914533
311	0.3145436797
312	0.3144812212
313	0.3144099548
314	0.3143725992
315	0.3143267426
316	0.3142678087
317	0.3142258637
318	0.3141677122
319	0.3140923277
320	0.3140365015
321	0.3139728222
322	0.3139365024
323	0.3138869746
324	0.3138421601
325	0.3137978653
326	0.3137463384
327	0.313690345
328	0.3136563818
329	0.3136431762
330	0.3135870559
331	0.3135540191
332	0.3134887561
333	0.3134307258
334	0.3133842497
335	0.3133416391
336	0.3133064384
337	0.3132615003
338	0.3132146487
339	0.3131861646
340	0.3131373233
341	0.3131026323
342	0.3130355709
343	0.3129837073
344	0.3129654974
345	0.3129225338
346	0.3128847379
347	0.3128479436
348	0.3128439855
349	0.3128252795
350	0.3127716355
351	0.3127170381
352	0.3126280962
353	0.312584594
354	0.3125524937
355	0.3125161359
356	0.312465079
357	0.3124036103
358	0.3123200858
359	0.3122785292
360	0.3122239967
361	0.3121618672
362	0.3121118658
363	0.3120804021
364	0.3120030785
365	0.3119631668
366	0.3119118243
367	0.311865641
368	0.3117928702
369	0.3117502718
370	0.3117025865
371	0.3116371001
372	0.3115702081
373	0.3115257456
374	0.3114618552
375	0.3114029755
376	0.3113504178
377	0.3113185692
378	0.3112680626
379	0.3112341031
380	0.3112088176
381	0.3111546888
382	0.3111158599
383	0.3110662039
384	0.3110306447
385	0.310982886
386	0.3109475753
387	0.3109034045
388	0.31086057
389	0.3108220879
390	0.3107943799
391	0.3107625295
392	0.3106941799
393	0.3106715039
394	0.310611965
395	0.3105805074
396	0.3105436602
397	0.3105191733
398	0.3104731934
399	0.3104110966
400	0.310389868
401	0.3103290688
402	0.310267834
403	0.3102106077
404	0.3101643407
405	0.3101298902
406	0.3101034235
407	0.3100510751
408	0.3100264086
409	0.3100076156
410	0.3099658874
411	0.3099251388
412	0.3098953558
413	0.3098587301
414	0.3098206688
415	0.3097756305
416	0.3097269996
417	0.3097031761
418	0.3096295625
419	0.3096160401
420	0.3095739362
421	0.3095132429
422	0.3094676114
423	0.309419501
424	0.3093898956
425	0.3093314743
426	0.3092590828
427	0.309187161
428	0.3091436835
429	0.309090922
430	0.3090680049
431	0.3090259007
432	0.3090018125
433	0.3089517387
434	0.3088989294
435	0.3088769414
436	0.3088248334
437	0.3087869675
438	0.3087304875
439	0.3086973604
440	0.3086696113
441	0.3086429993
442	0.3085999141
443	0.3085652485
444	0.3085065001
445	0.3084654695
446	0.3084265439
447	0.3083750106
448	0.3083359297
449	0.3082852495
450	0.3082420944
451	0.3082215027
452	0.308184836
453	0.3081564054
454	0.3081457803
455	0.3081220409
456	0.3080843844
457	0.3080334576
458	0.3079866756
459	0.3079388424
460	0.3078973513
461	0.3078628672
462	0.307825994
463	0.307795004
464	0.3077370167
465	0.307698744
466	0.307653925
467	0.3076113466
468	0.3075714199
469	0.307542522
470	0.3075018288
471	0.3074605917
472	0.3074251532
473	0.3074012516
474	0.3073577973
475	0.3073272766
476	0.3072936908
477	0.3072565822
478	0.3071715225
479	0.3071230487
480	0.3071097029
481	0.3070649751
482	0.3070297435
483	0.3070066065
484	0.3069471853
485	0.3069114703
486	0.3068615398
487	0.3068123152
488	0.3067553303
489	0.3067126621
490	0.3066894766
491	0.306640726
492	0.3065847432
493	0.3065408566
494	0.3064939672
495	0.3064590231
496	0.3064215971
497	0.3063809735
498	0.3063376056
499	0.3062838296
500	0.3062501882
501	0.3061910269
502	0.3061633062
503	0.3061283655
504	0.3061093792
