iter	Passed	Remaining
399	31000	744018
400	31080	743996
401	31192	744737
402	31257	744361
403	31339	744402
404	31401	743951
405	31474	743758
406	31536	743319
407	31613	743233
408	31678	742866
409	31744	742504
410	31809	742148
411	31878	741878
412	31942	741478
413	32009	741156
414	32071	740727
415	32136	740378
416	32205	740108
417	32276	739877
418	32343	739581
419	32407	739194
420	32468	738749
421	32543	738626
422	32615	738440
423	32677	738012
424	32738	737587
425	32797	737094
426	32859	736693
427	32924	736329
428	32985	735901
429	33047	735491
430	33127	735493
431	33204	735428
432	33272	735142
433	33344	734957
434	33412	734681
435	33494	734719
436	33563	734481
437	33636	734309
438	33709	734152
439	33776	733860
440	33841	733536
441	33906	733217
442	33969	732839
443	34049	732841
444	34121	732651
445	34182	732238
446	34244	731843
447	34312	731596
448	34368	731068
449	34433	730750
450	34498	730438
451	34573	730336
452	34646	730184
453	34744	730554
454	34832	730713
455	34932	731123
456	35023	731361
457	35099	731258
458	35172	731112
459	35238	730805
460	35309	730616
461	35373	730289
462	35443	730080
463	35528	730177
464	35597	729939
465	35656	729503
466	35731	729406
467	35795	729075
468	35871	728972
469	35949	728924
470	36010	728550
471	36074	728214
472	36139	727899
473	36206	727649
474	36271	727330
475	36358	727470
476	36419	727098
477	36488	726862
478	36551	726518
479	36664	727182
480	36730	726898
481	36791	726517
482	36860	726288
483	36954	726567
484	37030	726492
485	37117	726626
486	37203	726730
487	37267	726413
488	37334	726160
489	37407	726008
490	37482	725908
491	37544	725551
492	37608	725237
493	37677	725022
494	37739	724677
495	37814	724577
496	37886	724420
497	37946	724023
498	38011	723751
499	38068	723306
500	38127	722895
501	38194	722658
502	38253	722246
503	38332	722231
504	38400	721999
505	38466	721749
506	38536	721551
507	38592	721102
508	38666	720980
509	38741	720891
510	38818	720846
511	38889	720674
512	38960	720494
513	39034	720388
514	39102	720171
515	39178	720094
516	39237	719710
517	39299	719375
518	39366	719137
519	39431	718871
520	39493	718545
521	39556	718228
522	39616	717867
523	39682	717614
524	39745	717310
525	39819	717209
526	39883	716924
527	39956	716788
528	40031	716701
529	40129	717021
530	40222	717255
531	40311	717429
532	40411	717769
533	40492	717786
534	40607	718417
535	40695	718551
536	40765	718362
537	40823	717972
538	40916	718204
539	40998	718227
540	41060	717908
541	41123	717610
542	41214	717795
543	41318	718204
544	41424	718650
545	41515	718848
546	41597	718864
547	41656	718505
548	41758	718872
549	41847	719018
550	41936	719160
551	42038	719534
552	42131	719746
553	42221	719896
554	42292	719729
555	42387	719973
556	42469	719998
557	42529	719640
558	42596	719421
559	42666	719235
560	42736	719049
561	42804	718845
562	42867	718552
563	42938	718388
564	43003	718117
565	43081	718080
566	43154	717954
567	43216	717630
568	43293	717571
569	43366	717442
570	43423	717050
571	43534	717563
572	43612	717510
573	43686	717406
574	43772	717484
575	43874	717842
576	43954	717816
577	44058	718200
578	44175	718783
579	44262	718877
580	44349	718984
581	44416	718757
582	44522	719162
583	44627	719547
584	44742	720079
585	44837	720312
586	44905	720092
587	44967	719782
588	45042	719689
589	45122	719665
590	45222	719960
591	45326	720316
592	45420	720519
593	45488	720309
594	45564	720221
595	45624	719880
596	45693	719688
597	45761	719483
598	45860	719757
599	45964	720106
600	46062	720373
601	46141	720324
602	46231	720458
603	46298	720239
604	46369	720065
605	46438	719873
606	46497	719526
607	46558	719206
608	46623	718956
